signal_t,numsig_ratio,num_PvsN,t-1vst,OCt-1Over2p,target,parameter,count,mean,std,min,25%,50%,75%,max,skew,kurtosis,IQR
p,Over20p,moreN,diff,over2p,2to9,LtoH,257.0,17.4461,13.5651,2.2271,8.1683,14.0249,20.8899,83.4448,1.9964,4.8206,0.1272
p,Over20p,moreN,diff,over2p,2to9,OC/LH,257.0,34.0127,41.3871,-80.3613,4.4694,43.9387,67.5146,97.973,-0.6841,-0.413,0.6305
p,Over20p,moreN,same,under2p,2to9,OtoC,123.0,0.6576,5.6134,-14.1429,-2.5234,0.0564,3.0495,24.4679,1.2608,3.9749,0.0557
p,Over20p,moreN,same,under2p,2to9,OtoH,123.0,5.2829,6.3965,0.0,1.5213,3.0882,5.8863,36.685,2.3736,6.305,0.0436
p,Over20p,moreN,same,under2p,2to9,OtoL,123.0,-4.5745,3.8747,-20.8618,-6.7424,-3.4161,-1.6243,0.0,-1.4,2.395,0.0512
p,Over20p,moreN,same,under2p,2to9,LtoH,123.0,10.4616,7.3246,1.89,5.3731,8.7966,12.6446,46.5175,2.0104,5.6057,0.0727
p,Over20p,moreN,same,under2p,2to9,OC/LH,123.0,0.8058,42.6096,-88.2174,-35.1613,0.5832,36.5926,100.0,0.0517,-0.9098,0.7175
p,Over20p,moreN,same,over2p,2to9,OtoC,166.0,2.3634,10.6082,-25.2267,-3.0399,0.2176,5.643,66.3583,2.3421,10.5744,0.0868
p,Over20p,moreN,same,over2p,2to9,OtoH,166.0,11.739,18.0075,0.0,2.2824,6.0647,14.4402,177.877,5.4963,44.5967,0.1216
p,Over20p,moreN,same,over2p,2to9,OtoL,166.0,-5.4376,5.6516,-44.9227,-7.8142,-3.6215,-1.5676,0.0,-2.6884,13.7598,0.0625
p,Over20p,moreN,same,over2p,2to9,LtoH,166.0,18.4065,18.867,2.3106,9.1723,14.3746,21.5467,181.4456,4.9824,35.8763,0.1237
p,Over20p,moreN,same,over2p,2to9,OC/LH,166.0,2.8729,42.796,-88.1287,-28.9893,3.3719,36.2196,85.719,-0.1687,-0.8828,0.6521
p,Over20p,moreP,diff,under2p,2to9,OtoC,20650.0,0.6596,3.0856,-26.2967,-1.0266,0.4558,2.2222,29.1805,0.5262,5.859,0.0325
p,Over20p,moreP,diff,under2p,2to9,OtoH,20650.0,2.9564,2.9791,0.0,1.0506,2.1421,4.0026,50.6056,3.2628,22.3965,0.0295
p,Over20p,moreP,diff,under2p,2to9,OtoL,20650.0,-2.1042,2.0762,-28.4863,-2.9379,-1.5552,-0.6782,0.0,-2.6183,13.7993,0.0226
p,Over20p,moreP,diff,under2p,2to9,LtoH,20650.0,5.2065,3.4856,0.0,3.0761,4.393,6.2697,53.25,3.2851,21.045,0.0319
p,Over20p,moreP,diff,under2p,2to9,OC/LH,20648.0,10.0692,48.0817,-99.848,-27.4601,12.4126,50.1853,100.0,-0.1902,-0.961,0.7765
p,Over20p,moreP,diff,over2p,2to9,OtoC,9973.0,1.5428,6.1401,-47.5235,-1.1445,0.9138,3.5848,178.8774,6.4552,150.6241,0.0473
p,Over20p,moreP,diff,over2p,2to9,OtoH,9973.0,4.8634,6.613,0.0,1.54,3.1157,5.9057,231.2073,9.3436,215.2098,0.0437
p,Over20p,moreP,diff,over2p,2to9,OtoL,9973.0,-3.5625,4.6662,-98.2235,-4.2036,-2.0883,-0.9597,0.0,-3.9226,32.6041,0.0324
p,Over20p,moreP,diff,over2p,2to9,LtoH,9973.0,9.6884,63.436,0.5556,4.0149,6.3953,10.1353,6257.6159,95.868,9439.4697,0.0612
p,Over20p,moreP,diff,over2p,2to9,OC/LH,9973.0,15.4948,45.6645,-96.7213,-20.5085,18.7262,53.8892,100.0,-0.209,-0.9731,0.744
p,Over20p,moreP,same,under2p,2to9,OtoC,15187.0,0.5737,3.3094,-35.2137,-0.9823,0.3704,2.084,48.4458,0.3087,9.9277,0.0307
p,Over20p,moreP,same,under2p,2to9,OtoH,15187.0,2.9566,3.1865,0.0,0.9755,2.0233,3.9204,69.1329,3.8861,35.8538,0.0294
p,Over20p,moreP,same,under2p,2to9,OtoL,15187.0,-2.3137,2.4722,-52.0897,-3.0566,-1.6406,-0.735,0.0,-3.3691,25.7591,0.0232
p,Over20p,moreP,same,under2p,2to9,LtoH,15187.0,5.4605,4.2234,0.3276,2.9588,4.3247,6.7424,115.998,5.0597,75.8998,0.0378
p,Over20p,moreP,same,under2p,2to9,OC/LH,15187.0,9.6171,46.1671,-98.3254,-27.3728,10.4697,47.4668,100.0,-0.0823,-0.9689,0.7484
p,Over20p,moreP,same,over2p,2to9,OtoC,4634.0,1.2297,6.8085,-33.6018,-1.087,1.1167,3.3277,298.1583,20.5123,834.8257,0.0441
p,Over20p,moreP,same,over2p,2to9,OtoH,4634.0,5.2067,8.2017,0.0,1.8744,3.7143,6.3947,311.6474,19.3919,599.1351,0.0452
p,Over20p,moreP,same,over2p,2to9,OtoL,4634.0,-3.657,3.8994,-44.4649,-4.5107,-2.503,-1.1949,0.0,-2.5335,10.3797,0.0332
p,Over20p,moreP,same,over2p,2to9,LtoH,4634.0,9.3891,10.0972,0.9238,4.8739,7.2219,11.1291,316.2471,14.5977,343.2163,0.0626
p,Over20p,moreP,same,over2p,2to9,OC/LH,4634.0,14.2398,42.3358,-97.0149,-16.972,17.142,47.3281,100.0,-0.2179,-0.7314,0.643
