signal_t,numsig_ratio,num_PvsN,t-1vst,OCt-1Over2p,target,position_type,metric,value
p,Under20p,moreN,same,over2p,2to9,숏,손실 전체,16.6918
p,Under20p,moreN,same,over2p,2to9,숏,익절선보다 큰 손실,11.0848
p,Under20p,moreN,same,over2p,2to9,숏,손실 평균,5.7103
p,Under20p,moreN,same,over2p,2to9,숏,손실 중위값,3.1023
p,Under20p,moreP,diff,under2p,2to9,양방향,양쪽 다 털기,16.4158
p,Under20p,moreP,diff,under2p,2to9,양방향,양쪽 부분 털기,4.9794
p,Under20p,moreP,diff,under2p,2to9,양방향,횡보,20.2377
p,Under20p,moreP,diff,under2p,2to9,양방향,한쪽 박살,34.9524
p,Under20p,moreP,diff,under2p,2to9,롱,완전 익절,44.8902
p,Under20p,moreP,diff,under2p,2to9,롱,부분 익절,8.6243
p,Under20p,moreP,diff,under2p,2to9,롱,손실 전체,46.4855
p,Under20p,moreP,diff,under2p,2to9,롱,익절선보다 큰 손실,20.9747
p,Under20p,moreP,diff,under2p,2to9,롱,손실 평균,-2.2742
p,Under20p,moreP,diff,under2p,2to9,롱,손실 중위값,-1.7772
p,Under20p,moreP,diff,under2p,2to9,숏,완전 익절,51.2879
p,Under20p,moreP,diff,under2p,2to9,숏,부분 익절,14.6718
p,Under20p,moreP,diff,under2p,2to9,숏,손실 전체,34.0402
p,Under20p,moreP,diff,under2p,2to9,숏,익절선보다 큰 손실,13.9777
p,Under20p,moreP,diff,under2p,2to9,숏,손실 평균,2.555
p,Under20p,moreP,diff,under2p,2to9,숏,손실 중위값,1.4989
p,Under20p,moreP,diff,over2p,2to9,양방향,양쪽 다 털기,31.3685
p,Under20p,moreP,diff,over2p,2to9,양방향,양쪽 부분 털기,3.8853
p,Under20p,moreP,diff,over2p,2to9,양방향,횡보,7.4996
p,Under20p,moreP,diff,over2p,2to9,양방향,한쪽 박살,37.7486
p,Under20p,moreP,diff,over2p,2to9,롱,완전 익절,57.7629
p,Under20p,moreP,diff,over2p,2to9,롱,부분 익절,5.1633
p,Under20p,moreP,diff,over2p,2to9,롱,손실 전체,37.0738
p,Under20p,moreP,diff,over2p,2to9,롱,익절선보다 큰 손실,22.4988
p,Under20p,moreP,diff,over2p,2to9,롱,손실 평균,-3.4183
p,Under20p,moreP,diff,over2p,2to9,롱,손실 중위값,-2.4412
p,Under20p,moreP,diff,over2p,2to9,숏,완전 익절,66.106
p,Under20p,moreP,diff,over2p,2to9,숏,부분 익절,5.5314
p,Under20p,moreP,diff,over2p,2to9,숏,손실 전체,28.3626
p,Under20p,moreP,diff,over2p,2to9,숏,익절선보다 큰 손실,15.2497
p,Under20p,moreP,diff,over2p,2to9,숏,손실 평균,3.5101
p,Under20p,moreP,diff,over2p,2to9,숏,손실 중위값,2.1277
p,Under20p,moreP,same,under2p,2to9,양방향,양쪽 다 털기,18.7013
p,Under20p,moreP,same,under2p,2to9,양방향,양쪽 부분 털기,5.42
p,Under20p,moreP,same,under2p,2to9,양방향,횡보,18.8711
p,Under20p,moreP,same,under2p,2to9,양방향,한쪽 박살,35.1167
p,Under20p,moreP,same,under2p,2to9,롱,완전 익절,46.3397
p,Under20p,moreP,same,under2p,2to9,롱,부분 익절,7.8917
p,Under20p,moreP,same,under2p,2to9,롱,손실 전체,45.7686
p,Under20p,moreP,same,under2p,2to9,롱,익절선보다 큰 손실,21.4547
p,Under20p,moreP,same,under2p,2to9,롱,손실 평균,-2.4079
p,Under20p,moreP,same,under2p,2to9,롱,손실 중위값,-1.8591
p,Under20p,moreP,same,under2p,2to9,숏,완전 익절,53.4905
p,Under20p,moreP,same,under2p,2to9,숏,부분 익절,14.875
p,Under20p,moreP,same,under2p,2to9,숏,손실 전체,31.6345
p,Under20p,moreP,same,under2p,2to9,숏,익절선보다 큰 손실,13.662
p,Under20p,moreP,same,under2p,2to9,숏,손실 평균,2.8962
p,Under20p,moreP,same,under2p,2to9,숏,손실 중위값,1.626
p,Under20p,moreP,same,over2p,2to9,양방향,양쪽 다 털기,40.5376
